268.0839,11.0411,225.1785
267.9677,11.05,225.1019
267.8495,11.049,225.0282
267.7296,11.05,224.956
267.6086,11.05,224.8857
267.4853,11.05,224.8193
267.361,11.05,224.7549
267.2357,11.05,224.6925
267.1094,11.05,224.6322
266.9821,11.05,224.5739
266.8528,11.05,224.52
266.7227,11.05,224.4683
266.5918,11.05,224.4189
266.46,11.05,224.3717
266.3273,11.05,224.3268
266.1932,11.0445,224.2867
266.0588,11.04565,224.249
265.9246,11.05,224.2131
265.7887,11.05,224.1803
265.652,11.05,224.15
265.5143,11.05,224.1247
265.3761,11.05,224.1021
265.2375,11.0415,224.082
265.0986,11.04474,224.0646
264.9595,11.0448,224.0499
264.8204,11.04801,224.0399
264.6806,11.04861,224.0333
264.5406,11.04891,224.0295
264.4007,11.04898,224.0285
264.2607,11.04885,224.0303
264.1208,11.04821,224.0378
263.9812,11.04664,224.0482
263.842,11.04526,224.0614
263.703,11.04241,224.0775
263.5643,11.05,224.0966
263.427,11.05,224.1214
263.2898,11.05,224.1492
263.1532,11.04955,224.18
263.0175,11.04962,224.2138
262.8824,11.05,224.2504
262.7486,11.05,224.2913
262.6151,11.05,224.3334
262.4818,11.05,224.3762
262.3484,11.04688,224.419
262.2159,11.05,224.4616
262.0827,11.04135,224.5043
261.9504,11.05,224.5468
261.8177,11.05,224.5892
261.6844,11.05,224.6319
261.551,11.04037,224.6743
261.4189,11.05,224.7163
261.2861,11.05,224.7582
261.1525,11.05,224.8001
261.0189,11.04955,224.8419
260.8853,11.05,224.8833
260.7515,11.05,224.9244
260.6176,11.05,224.9651
260.4836,11.04996,225.0056
260.3495,11.04737,225.0458
260.2153,11.04073,225.0856
260.0811,11.04169,225.1246
259.9479,11.05,225.1632
259.8138,11.05,225.2014
259.6791,11.05,225.2392
259.5442,11.05,225.2767
259.409,11.05,225.3132
259.2737,11.04643,225.3491
259.1391,11.05,225.3843
259.0037,11.04998,225.4192
258.8679,11.05,225.4535
258.7319,11.05,225.4866
258.5957,11.05,225.5191
258.4594,11.04473,225.5509
258.3239,11.05,225.582
258.1875,11.05,225.6124
258.0506,11.04679,225.6414
257.9141,11.05,225.6698
257.7769,11.05,225.6973
257.6395,11.04552,225.7239
257.5028,11.05,225.7497
257.3651,11.05,225.7738
257.2271,11.05,225.797
257.0888,11.04001,225.8194
256.9517,11.05,225.8413
256.8141,11.04858,225.8617
256.6756,11.05,225.8802
256.5367,11.05,225.8977
256.3977,11.05,225.9142
256.2585,11.05,225.9296
256.1193,11.05,225.944
255.9798,11.05,225.9562
255.8403,11.05,225.9672
255.7006,11.05,225.9771
255.5609,11.05,225.9858
255.4211,11.05,225.9933
255.2812,11.05,225.9983
255.1412,11.04999,226.0021
255.0012,11.04997,226.0046
254.8612,11.04996,226.0058
254.7212,11.04996,226.0056
254.5812,11.04999,226.0028
254.4413,11.05,225.9986
254.3014,11.05,225.9937
254.1615,11.05,225.9888
254.0216,11.04942,225.9838
253.8819,11.04407,225.9789
253.7429,11.05,225.974
253.6032,11.05,225.9691
253.4633,11.05,225.9642
253.3234,11.05,225.9593
253.1835,11.05,225.9543
253.0436,11.04762,225.9494
252.9042,11.04899,225.9445
252.7645,11.05,225.9396
252.6246,11.05,225.9346
252.4847,11.05,225.9297
252.3448,11.05,225.9248
252.2048,11.05,225.9199
252.0649,11.04469,225.9149
251.9258,11.05,225.91
251.7862,11.04106,225.9051
251.6474,11.05,225.9002
251.5081,11.05,225.8953
251.3682,11.05,225.8904
251.2283,11.05,225.8855
251.0884,11.04011,225.8806
250.9496,11.05,225.8757
250.8106,11.04773,225.8708
250.671,11.05,225.8659
250.5311,11.05,225.8609
250.3912,11.05,225.856
250.2513,11.05,225.8511
250.1114,11.05,225.8461
249.9715,11.05,225.8412
249.8316,11.04999,225.8363
249.6917,11.05,225.8314
249.5517,11.05,225.8264
249.4118,11.05,225.8215
249.2719,11.05,225.8166
249.132,11.05,225.8117
248.9921,11.05,225.8067
248.8522,11.05,225.8018
248.7123,11.0455,225.7969
248.5731,11.05,225.792
248.4333,11.05,225.787
248.2934,11.05,225.7821
248.1535,11.05,225.7772
248.0136,11.04977,225.7723
247.8737,11.05,225.7673
247.7338,11.04949,225.7624
247.594,11.05,225.7575
247.4541,11.05,225.7526
247.3142,11.05,225.7477
247.1743,11.05,225.7427
247.0343,11.04852,225.7378
246.8949,11.05,225.7329
246.755,11.05,225.728
246.6151,11.04265,225.723
246.4762,11.05,225.7181
246.3367,11.05,225.7132
246.1968,11.05,225.7083
246.0569,11.04594,225.7034
245.9176,11.05,225.6985
245.7779,11.05,225.6935
245.638,11.04839,225.6886
245.4983,11.05,225.6837
245.3584,11.05,225.6788
245.2185,11.05,225.6738
245.0786,11.0422,225.6689
244.9397,11.05,225.664
244.8003,11.05,225.6591
244.6604,11.05,225.6543
244.5204,11.05,225.6496
244.3805,11.05,225.645
244.2406,11.05,225.6405
244.1007,11.05,225.6362
